OSM_ID,OSM_Type,SP,Nazwa,Adres,Latitude,Longitude,OSM_Version
410894242,way,,Orlen,"współrzędne: 51.74305, 19.81022",51.743046,19.810223,
411482623,way,,Orlen,"współrzędne: 51.79659, 19.63034",51.796590,19.630340,
415430393,way,,Orlen,"współrzędne: 53.56644, 16.23024",53.566438,16.230236,
420084431,way,,Orlen,"współrzędne: 51.23780, 16.16986",51.237801,16.169861,
425956196,way,,Orlen,"ul. Kuźniczka 25, 42-160 Krzepice",50.972680,18.702171,
431782128,way,,Orlen,"współrzędne: 52.91752, 14.85935",52.917517,14.859355,
432248524,way,,Orlen 7738,28-506 Czarnocin,50.320466,20.541734,
434314020,way,,Orlen,"ul. Aleja Wojska Polskiego 80, 42-208 Częstochowa",50.768990,19.163187,
434846987,way,,Orlen,"współrzędne: 50.82866, 19.07193",50.828665,19.071926,
435394140,way,,Orlen,"ul. Henryka Sienkiewicza 97, 34-300 Żywiec",49.699594,19.201337,
435499100,way,,Orlen,"współrzędne: 52.36693, 16.80948",52.366932,16.809483,
436991042,way,,Orlen,"współrzędne: 54.36940, 18.50242",54.369399,18.502424,
439570982,way,,Orlen,"współrzędne: 54.53225, 17.74309",54.532250,17.743092,
442857268,way,,Orlen,"ul. Andrzeja Struga 61c, Szczecin",53.383367,14.671928,
445157425,way,,Orlen,"współrzędne: 51.78559, 19.46672",51.785588,19.466720,
452630298,way,,Orlen,"współrzędne: 50.91308, 18.90164",50.913084,18.901639,
455403077,way,,Orlen,"współrzędne: 50.15590, 20.98257",50.155901,20.982568,
467743637,way,,Orlen,"współrzędne: 51.80951, 19.32042",51.809513,19.320417,
469963066,way,,Orlen,"ul. Hrubieszowska 57, Szczecin",53.425993,14.483137,
480628691,way,,Orlen,"współrzędne: 50.76513, 22.10232",50.765126,22.102319,
481851222,way,,ORLEN,"współrzędne: 51.73495, 19.45228",51.734947,19.452282,
481952984,node,,Orlen,"ul. Aleja Spółdzielczości Pracy 30, 20-147 Lublin",51.264367,22.572081,
