ID_Punktu,Nazwa_Stacji,Adres,Latitude,Longitude,Handlowiec,Status,Ostatnia_Aktualizacja,Notatki,Audyt
ORL-PL-817,Orlen nr 817 (Kazimierz Dolny),"ul. Tyszkiewicza 29, 24-120 Kazimierz Dolny",51.325967,21.950898,,Do zrobienia,,,Nie
ORL-PL-822,Orlen nr 822 (Jarosław),"ul. Pełkińska 65, 37-500 Jarosław",51.847548,18.829681,,Do zrobienia,,,Tak
ORL-PL-823,Orlen nr 823 (Kędzierzyn-Koźle),"ul. Kozielska 6b, 47-220 Kędzierzyn-Koźle",50.342847,18.202194,,Do zrobienia,,,Nie
ORL-PL-828,Orlen nr 828 (Byczyna),"ul. Kluczborska 12, 46-220 Byczyna",51.108255,18.206406,,Do zrobienia,,,Nie
ORL-PL-833,Orlen nr 833 (Radziejów),"ul. Komunalna 21, 88-200 Radziejów",52.630238,18.528137,,Do zrobienia,,,Nie
ORL-PL-836,Orlen nr 836 (Nowe),"ul. Bydgoska 29, 86-170 Nowe",53.644165,18.724720,,Do zrobienia,,,Nie
ORL-PL-837,Orlen nr 837 (Więcbork),"ul. Gdańska 11, 89-410 Więcbork",53.358088,17.489168,,Do zrobienia,,,Nie
ORL-PL-840,Orlen nr 840 (Szychowo),"Droga nr 15 53, 87-410 Szychowo",53.144964,18.868696,,Do zrobienia,,,Nie
ORL-PL-841,Orlen nr 841 (Warszawa),"ul. Syrokomli 2, 03-335 Warszawa",52.270602,20.932680,,Do zrobienia,,,Tak
ORL-PL-843,Orlen nr 843 (Warszawa),"ul. Postępu 16, 02-676 Warszawa",52.180720,20.998092,,Do zrobienia,,,Tak
ORL-PL-845,Orlen nr 845 (Strzegowo),"ul. Al. Wyzwolenia 1b, 06-445 Strzegowo",52.887576,20.279766,,Do zrobienia,,,Tak
ORL-PL-847,Orlen nr 847 (Działdowo),"ul. Męczenników 1, 13-200 Działdowo",53.235187,20.180450,,Do zrobienia,,,Nie
ORL-PL-850,Orlen nr 850 (Łochów),"ul. Węgrowska 2, 07-130 Łochów",52.530199,21.681663,,Do zrobienia,,,Nie
ORL-PL-858,Orlen nr 858 (Szczecin),"ul. Strzałowska 49, 71-730 Szczecin",53.461586,14.594446,,Do zrobienia,,,Nie
ORL-PL-862,Orlen nr 862 (Piła),"ul. Niepodległości 45, 64-920 Piła",53.120982,16.774427,,Do zrobienia,,,Tak
ORL-PL-865,Orlen nr 865 (Chojęcin-Szum),"Droga nr E8 7B, 63-640 Chojęcin-Szum",51.282804,17.953129,,Do zrobienia,,,Nie
ORL-PL-870,Orlen nr 870 (Bobolice),"ul. Koszalińska 19b, 76-020 Bobolice",53.961977,16.580081,,Do zrobienia,,,Nie
ORL-PL-871,Orlen nr 871 (Zabrzeż),"ul. Zabrzeż 399, 33-390 Zabrzeż",49.552233,20.455906,,Do zrobienia,,,Nie
ORL-PL-875,Orlen nr 875 (Rabka-Zdrój),"Kilińskiego, 34-700 Rabka-Zdrój",49.608413,19.927966,,Do zrobienia,,,Nie
ORL-PL-880,Orlen nr 880 (Gryfów Śląski),"Jeleniogórska, 59-620 Gryfów Śląski",51.035929,15.417060,,Do zrobienia,,,Nie
ORL-PL-881,Orlen nr 881 (Gubin),"ul. Wyspiańskiego 31, 66-620 Gubin",51.948988,14.735579,,Do zrobienia,,,Nie
ORL-PL-882,Orlen nr 882 (Kostrzyn nad Odrą),"ul. Gorzowska 2, 66-470 Kostrzyn nad Odrą",52.587988,14.655486,,Do zrobienia,,,Nie
ORL-PL-885,Orlen nr 885 (Nowogród Bobrzański),"ul. H. Brodatego 4, 66-010 Nowogród Bobrzański",51.802898,15.256488,,Do zrobienia,,,Nie
ORL-PL-887,Orlen nr 887 (Tomaszów Mazowiecki),"ul. Tamka 2, 97-200 Tomaszów Mazowiecki",51.553535,20.017954,,Do zrobienia,,,Tak
ORL-PL-888,Orlen nr 888 (Rokiciny),"ul. Reymonta 2, 97-221 Rokiciny",52.078692,18.751113,,Do zrobienia,,,Tak
ORL-PL-889,Orlen nr 889 (Uniejów),"ul. Dąbska 17, 99-210 Uniejów",51.978560,18.796129,,Do zrobienia,,,Nie
ORL-PL-893,Orlen nr 893 (Ostróda),"ul. Szosa Elbląska 2, 14-100 Ostróda",53.716848,19.950566,,Do zrobienia,,,Nie
ORL-PL-895,Orlen nr 895 (Braniewo),"ul. Elbląska 26, 14-500 Braniewo",54.377897,19.811458,,Do zrobienia,,,Nie
ORL-PL-896,Orlen nr 896 (Dęblin),"ul. Wiślana 1, 08-530 Dęblin",52.499589,18.648379,,Do zrobienia,,,Tak
ORL-PL-898,Orlen nr 898 (Środa Wielkopolska),"Droga P-38, 63-000 Środa Wielkopolska",52.213073,17.275869,,Do zrobienia,,,Tak
ORL-PL-901,Orlen nr 901 (Szadek),"ul. Nowe Miasto 17, 98-240 Szadek",51.690566,18.981348,,Do zrobienia,,,Nie
ORL-PL-906,Orlen nr 906 (Ełk),"ul. Kilińskiego 32, 19-300 Ełk",53.831990,22.354232,,Do zrobienia,,,Nie
ORL-PL-908,Orlen nr 908 (Białystok),"ul. 1000-Lecia PP 11A, 15-950 Białystok",53.102395,23.139124,,Do zrobienia,,,Nie
ORL-PL-910,Orlen nr 910 (Rudki),"31, 62-240 Rudki",52.560683,17.792794,,Do zrobienia,,,Nie
ORL-PL-914,Orlen nr 914 (Bydgoszcz),"ul. Al. Jana Pawła II 131, 85-140 Bydgoszcz",53.101606,18.009904,,Do zrobienia,,,Nie
ORL-PL-915,Orlen nr 915 (Starogard Gdański),"ul. Mickiewicza 11c, 83-200 Starogard Gdański",51.504306,19.002996,,Do zrobienia,,,Tak
ORL-PL-916,Orlen nr 916 (Skórcz),"ul. Pomorska 16, 83-220 Skórcz",53.791935,18.514673,,Do zrobienia,,,Nie
ORL-PL-922,Orlen nr 922 (Suchedniów),"Kielecka, 26-130 Suchedniów",51.043496,20.828633,,Do zrobienia,,,Nie
ORL-PL-924,Orlen nr 924 (Kraków),"ul. Wandy 30 a, 31-905 Kraków",52.252043,18.642735,,Do zrobienia,,,Tak
ORL-PL-927,Orlen nr 927 (Krzeszowice),"ul. Kościuszki 39, 32-065 Krzeszowice",50.132308,19.644986,,Do zrobienia,,,Nie
ORL-PL-928,Orlen nr 928 (Nowy Targ),"Szaflarska, 34-400 Nowy Targ",49.468272,20.026717,,Do zrobienia,,,Nie
ORL-PL-931,Orlen nr 931 (Jastrowie),"ul. Żymierskiego 40, 64-915 Jastrowie",53.427744,16.824580,,Do zrobienia,,,Nie
ORL-PL-932,Orlen nr 932 (Człopa),"ul. Zwycięstwa WP 40, 78-630 Człopa",53.080324,16.112786,,Do zrobienia,,,Nie
ORL-PL-934,Orlen nr 934 (Kock),"ul. Piłsudskiego 19, 21-150 Kock",51.643288,22.445978,,Do zrobienia,,,Nie
ORL-PL-939,Orlen nr 939 (Lidzbark),"30A, 13-230 Lidzbark",51.636068,18.888278,,Do zrobienia,,,Tak
ORL-PL-941,Orlen nr 941 (Nidzica),"ul. Sienkiewicza 1, 13-100 Nidzica",53.352811,20.428367,,Do zrobienia,,,Nie
ORL-PL-951,Orlen nr 951 (Krzyż Wielkopolski),"Marchlewskiego, 64-761 Krzyż Wielkopolski",52.877437,15.997220,,Do zrobienia,,,Nie
ORL-PL-952,Orlen nr 952,"52.96756,17.10509",52.967565,17.105095,,Do zrobienia,,,Nie
ORL-PL-953,Orlen nr 953 (Sieraków),"ul. Okręg Międzychodzki 1, 64-410 Sieraków",52.644706,16.060833,,Do zrobienia,,,Tak
ORL-PL-957,Orlen nr 957 (Książ Wielkopolski),"ul. Wichury 30, 63-130 Książ Wielkopolski",52.060321,17.243912,,Do zrobienia,,,Nie
ORL-PL-960,Orlen nr 960 (Zawadka Brzostecka),39-230 Zawadka Brzostecka,49.896930,21.379700,,Do zrobienia,,,Nie
ORL-PL-966,Orlen nr 966 (Knurów),"ul. 1-go Maja 9, 44-190 Knurów",51.730744,19.172661,,Do zrobienia,,,Tak
ORL-PL-969,Orlen nr 969 (Dąbrowa Górnicza),"ul. Szosowa 1, 42-520 Dąbrowa Górnicza",52.272334,18.553820,,Do zrobienia,,,Tak
ORL-PL-971,Orlen nr 971 (Babigoszcz),"22, 72-122 Babigoszcz",53.678467,14.812745,,Do zrobienia,,,Nie
ORL-PL-973,Orlen nr 973 (Szczecin),"ul. Kolumba 46/50, 70-035 Szczecin",53.371858,14.605912,,Do zrobienia,,,Nie
ORL-PL-975,Orlen nr 975 (Morzyczyn),"ul. Szczecińska 25, 73-108 Morzyczyn",53.352953,14.914114,,Do zrobienia,,,Nie
ORL-PL-976,Orlen nr 976 (Oborniki Śląskie),"ul. Piłsudskiego 15, 55-120 Oborniki Śląskie",51.301631,16.912827,,Do zrobienia,,,Nie
ORL-PL-977,Orlen nr 977 (Oława),"ul. Opolska 31, 55-200 Oława",50.926895,17.298700,,Do zrobienia,,,Nie
ORL-PL-979,Orlen nr 979 (Jelenia Góra),"ul. Wrocławska 6, 58-514 Jelenia Góra",50.909079,15.805314,,Do zrobienia,,,Nie
ORL-PL-981,Orlen nr 981 (Lubin),"ul. Zielonogórska 3, 59-300 Lubin",51.392344,16.220610,,Do zrobienia,,,Nie
ORL-PL-982,Orlen nr 982 (Legnica),"Domeyki, 59-220 Legnica",51.209495,16.130915,,Do zrobienia,,,Nie
ORL-PL-983,Orlen nr 983 (Wrocław),"ul. B. Krzywoustego 177, 51-312 Wrocław",51.145822,17.139326,,Do zrobienia,,,Nie
ORL-PL-984,Orlen nr 984 (Kąty Wrocławskie),"ul. K. Norwida 10, 55-080 Kąty Wrocławskie",51.028372,16.772751,,Do zrobienia,,,Tak
ORL-PL-987,Orlen nr 987 (Kożuchów),"ul. Nowosolska 2, 67-120 Kożuchów",51.745923,15.598278,,Do zrobienia,,,Nie
ORL-PL-988,Orlen nr 988 (Gorzów Wielkopolski),"ul. Koniawska 24, 66-400 Gorzów Wielkopolski",52.726540,15.212299,,Do zrobienia,,,Tak
ORL-PL-990,Orlen nr 990 (Ośno Lubuskie),"ul. 11 Listopada 23, 69-220 Ośno Lubuskie",52.454806,14.879452,,Do zrobienia,,,Nie
ORL-PL-991,Orlen nr 991 (Dobre),"ul. Gen. Jana Skrzyneckiego, 05-307 Dobre",52.319734,21.663260,,Do zrobienia,,,Nie
ORL-PL-992,Orlen nr 992 (Gąbin),"ul. Składkowskiego 18, 09-530 Gąbin",52.401224,19.728023,,Do zrobienia,,,Nie
ORL-PL-993,Orlen nr 993 (Płock),"ul. Piłsudskiego 2, 09-402 Płock",52.545818,19.707067,,Do zrobienia,,,Tak
ORL-PL-995,Orlen nr 995 (Kałuszyn),"ul. Warszawska 57, 05-310 Kałuszyn",52.205934,21.807155,,Do zrobienia,,,Tak
ORL-PL-998,Orlen nr 998 (Milanówek),"ul. Królewska 6, 05-822 Milanówek",52.127221,20.691613,,Do zrobienia,,,Nie
